Tip0 {可爱的伊莎贝尔非常嫉妒。}
Tip1 {记住：拔出火枪永远比重新装填滑膛枪快。}
Tip2 {近战武器熟练度可减少攻击时的体力消耗。}
Tip3 {超重和醉酒会为技能带来减益。}
Tip4 {药水恢复生命值较慢——不要指望靠举盾硬扛。}
Tip5 {如果你被包围了，突围的最好方法是向侧面冲刺。}
Tip6 {只要把握好时机，向侧面冲刺可以躲避任何攻击。这对远程武器尤其有效。}
Tip7 {火枪手会造成巨大的伤害。优先消灭他们。}
Tip8 {快速射击比精瞄射击弱。这就是速度的代价。}
Tip9 {向后和向侧面移动的速度明显比向前慢，但这样能不让敌人离开视野。}
Tip10 {某些敌人在战斗中能下毒。务必随身携带解药。}
Tip11 {在战斗帆下，船只转弯最快。}
Tip12 {风浪、转弯和船速会极大地影响火炮射击精度。}
Tip13 {如果你的火炮经常打偏，请拉近距离。}
Tip14 {“火炮”和“精准”技能会同时影响第三人称射击和瞄准模式。}
Tip15 {用链弹精确击中桅杆可以将其击断。如果船帆已经受损，概率会更高。}
Tip16 {在占据极大兵力优势时，敌舰甚至在尝试登船时就会投降。}
Tip17 {逃跑时，船只可能会把货物扔出船外。靠近它们即可拾取战利品。}
Tip18 {火炮会随着时间磨损。请备好一些备用火炮。}
Tip19 {不同的弹药射程不同。实心弹射程最远，葡萄弹最近。}
Tip20 {实心弹通用。对付船帆和桅杆用链弹，对付船员用葡萄弹，对付船体用爆破弹。}
Tip21 {仔细阅读对话——其中往往包含独特的信息。}
Tip22 {如果殖民地被成功围攻，你在港务局的投资和船只将会丢失。}
Tip23 {向市民和酒鬼打听传闻——他们往往知道很多有趣的事。}
Tip24 {寻宝通常很划算。藏宝图贩子可以在酒馆里找到。}
Tip25 {海盗酒馆里的外交官可以帮你消除悬赏令。}
Tip26 {船上要备好武器：每个牺牲的水手都会把武器带进坟墓。}
Tip27 {出港前，确保朗姆酒、药品和口粮足够支撑计划中的航程。}
Tip28 {老鼠是水手的灾星。你可以通过保持绝对清洁或使用古老魔法来摆脱它们。}
Tip29 {地下城非常曲折。如果你迷路了，贴着右侧墙壁走。}
Tip30 {物品可以存放在船长室里。有时清理掉沉重的杂物很有用。}
Tip31 {宝藏和藏匿点是获取制作材料的好地方。}
Tip32 {船只可以寄存在港务局。}
Tip33 {你可以在造船厂租用仓库，以安全存放货物和舰炮。}
Tip34 {如果殖民地的堡垒对你来说太硬，尝试从陆地进攻城市。城市守卫明显较弱，但战利品也会较少。}
Tip35 {在公海可以找到漂流木桶。里面可能是贵重物品也可能是垃圾——这总是一个惊喜。}
Tip36 {任何攻击都可以招架。如果你精通此道，就能赢得任何决斗。}
Tip37 {有时海流会给漫步在幽静海湾的人带来意想不到的礼物。}
Tip38 {紫水晶对解酒没用。说真的。}
Tip39 {在紧急情况下，几乎任何军官都可以被指派为登船手。}
Tip40 {总督和船长也喜欢赌博，但别指望他们会和陌生人玩。}
Tip41 {在危急情况下，你可以强征奴隶入伙。这会降低士气，但能迅速补充船员。}
Tip42 {如果卫兵撞见你和走私犯交易，有时花钱消灾最省事。}
Tip43 {制作物品会消耗游戏时间。有时搞制造比在酒馆里无所事事地睡觉更划算。}
Tip44 {在造船厂修理船只需要消耗游戏时间。如果你有急事，请把这点考虑进去。}
Tip45 {到达某一海域后，切换到大地图并通过“航行至”移动会更快。}
Tip46 {如果敌人太强，请撤退并稍后再来。大多数任务不需要当下解决。}
Tip47 {战斗中可以指挥登船手。尝试使用快捷键向他们下达命令。}
Tip48 {某些技能对主角和军官会产生不同的效果。}
