Antigua {安提瓜}
Barbados {巴巴多斯}
Bermudes {百慕大}
Beliz {尤卡坦}
Cuba {古巴}
Cuba1 {古巴东部}
Cuba2 {古巴西部}
Caiman {开曼}
Cumana {委内瑞拉东部}
Caracas {委内瑞拉西部}
Curacao {库拉索}
Cartahena {哥伦比亚}
Dominica {多尼米加}
Guadeloupe {瓜德罗普}
Hispaniola {伊斯帕尼奥拉}
Hispaniola1 {西属伊斯帕尼奥拉}
Hispaniola2 {法属伊斯帕尼奥拉}
Jamaica {牙买加}
Maracaibo {马拉开波湾}
Martinique {马提尼克}
MarieGalante {玛丽-加朗特}
SentMartin {圣马丁}
Nevis {尼维斯}
PuertoRico {波多黎各}
PortoBello {南部大陆}
Pearl {珍珠海岸}
Panama {巴拿马}
SantaCatalina {西部大陆}
Terks {特克斯}
Tortuga {托尔图加}
Tobago {多巴哥}
Trinidad {特立尼达}
Providence {普罗维登斯}
Gibraltar {直布罗陀}
Aruba {阿鲁巴}
Tenotchitlan {特斯科科}
Mein {大陆}

SentJons_town {圣约翰}
Pirates_town {海盗营地}
Bridge_town {布里奇敦}
Beliz_town {伯利兹}
Santiago_town {圣地亚哥}
PuertoPrincipe_town {普林西比港}
Havana_town {哈瓦那}
Cumana_town {库马纳}
Caracas_town {加拉加斯}
Villemstad_town {威廉斯塔德}
Cartahena_town {卡塔赫纳}
BasTer_town {巴斯特尔}
SantoDomingo_town {圣多明各}
LaVega_town {拉维加}
PortPax_town {太子港}
PortRoyal_town {皇家港}
Maracaibo_town {马拉开波}
FortFrance_town {法兰西堡}
LeFransua_town {勒弗朗索瓦}
Marigo_town {马里戈}
Charles_town {查尔斯顿}
SanJuan_town {圣胡安}
PortoBello_town {贝洛港}
Panama_town {巴拿马}
SantaCatalina_town {圣卡塔利娜}
Tortuga_town {托尔图加}
PortSpein_town {西班牙港}
Providencia_town {普罗维登西亚}
FortOrange_town {奥兰治堡}
Gibraltar_town {直布罗陀}
Gibraltar Town		{直布罗陀}
Gibraltar Fort		{直布罗陀堡}
Gibraltar Port		{直布罗陀港}
Tenotchitlan_town {特诺奇蒂特兰}
Estate {奥格尔索普庄园， 英格兰}
DesMoines {得梅因}

Shore1 {布恩角}
Shore2 {威洛比湾}
Shore3 {废墟海岸}
Shore4 {哈里森角}
Shore5 {拉格角}
Shore6 {卡托切角}
Shore7 {科苏梅尔湾}
Shore8 {切图马尔湾}
Shore9 {阿马蒂克湾}
Shore10 {卡拉塔斯卡泻湖}
Shore11 {卡马圭角}
Shore12 {安娜玛丽亚湾}
Shore13 {巴塔巴诺湾}
Shore14 {胡文图德湾}
Shore15 {圣安东尼奥角}
Shore16 {荒漠海岸}
Shore17 {埃斯梅拉达湾}
Shore18 {蛇口海岸}
Shore19 {卡鲁帕诺湾}
Shore20 {洛斯特克斯海滩}
Shore21 {阿鲁巴角}
Shore22 {棕榈海岸}
Shore23 {加尔文角}
Shore24 {布兰卡泻湖}
Shore25 {科韦尼亚斯湾}
Shore26 {布鲁斯堡海滩}
Shore27 {斯科特角}
Shore28 {莫尔纳洛湾}
Shore29 {卡普斯特海滩}
Shore30 {格朗堡湾}
Shore31 {不可接近角}
Shore32 {伊莎贝拉角}
Shore33 {萨马纳湾}
Shore34 {戈纳夫湾}
Shore35 {内格里尔角}
Shore36 {波特兰湾}
Shore37 {瓜希拉湾}
Shore38 {拉芒坦湾}
Shore39 {勒马林湾}
Shore40 {救赎海岸}
Shore41 {狂风湾}
Shore42 {纽卡斯尔湾}
Shore43 {白沙湾}
Shore44 {阿瓜迪亚湾}
Shore45 {法哈多海滩}
Shore46 {奇里基泻湖}
Shore47 {蚊子湾}
Shore48 {达连湾}
