Indian_names_1 {阿普里马克}
Indian_names_2 {因蒂瓦曼}
Indian_names_3 {阿里帕伊}
Indian_names_4 {达巴罗}
Indian_names_5 {库西瓦曼}
Indian_names_6 {库西里马奇}
Indian_names_7 {普沙克}
Indian_names_8 {卡拉帕纳}
Indian_names_9 {富胡迪}
Indian_names_10 {瓜亚萨明}
Indian_names_11 {阿纳克}
Indian_names_12 {马瑙里}
Indian_names_13 {阿博雷}
Indian_names_14 {瓦尼卡}
Indian_names_15 {科瑙罗}
Indian_names_16 {约基}
Indian_names_17 {马布库里}
Indian_names_18 {卡纳霍洛}
Indian_names_19 {瓦古拉}
Indian_names_20 {曼杜卡}
Indian_names_21 {科内索}
Indian_names_22 {阿拉西博}
Indian_names_23 {莱苏里}
Indian_names_24 {库里瓦曼}
Indian_names_25 {里马奇}
Indian_names_26 {萨亚鲁米}
Indian_names_27 {赛里图帕克}
Indian_names_28 {科库伊}
Indian_names_29 {阿加罗}
Indian_names_30 {皮罗凯}
Indian_names_31 {梅鲁}
Indian_names_32 {阿奎奇哈伊瓦}
Indian_names_33 {阿马鲁图帕克}
Indian_names_34 {安泰}
Indian_names_35 {阿塔瓦尔帕}
Indian_names_36 {阿图克}
Indian_names_37 {奥基普马}
Indian_names_38 {阿查奇克}
Indian_names_39 {瓦伊奈}
Indian_names_40 {瓦伊纳卡帕克}
Indian_names_41 {伊利亚尤克}
Indian_names_42 {伊利亚特克西}
Indian_names_43 {因卡乌奎}
Indian_names_44 {因蒂奥基}
Indian_names_45 {伊斯凯}
Indian_names_46 {卡伊瓦}
Indian_names_47 {卡塔里}
Indian_names_48 {卡奇}
Indian_names_49 {基利利库}
Indian_names_50 {基丘阿萨明}
Indian_names_51 {库米亚}
Indian_names_52 {库纳克}
Indian_names_53 {昆图尔瓦里}
Indian_names_54 {利亚皮亚克}
Indian_names_55 {利亚利亚瓦}
Indian_names_56 {利亚恩基}
Indian_names_57 {迈塔}
Indian_names_58 {迈塔卡帕克}
Indian_names_59 {马尔基}
Indian_names_60 {瑙基}
Indian_names_61 {瑙帕克}
Indian_names_62 {瑙帕里}
Indian_names_63 {帕里乌}
Indian_names_64 {帕查库特克}
Indian_names_65 {皮楚}
Indian_names_66 {法瓦克}
Indian_names_67 {劳拉克}
Indian_names_68 {鲁米马基}
Indian_names_69 {鲁纳库图}
Indian_names_70 {鲁法伊}
Indian_names_71 {萨帕伊}
Indian_names_72 {顺库尤克}
Indian_names_73 {辛奇罗卡}
Indian_names_74 {廷库普马}
Indian_names_75 {图帕卡帕克}
Indian_names_76 {蒂托阿陶奇}
Indian_names_77 {瓦尔帕亚}
Indian_names_78 {瓦里鲁纳}
Indian_names_79 {奥扬泰}
Indian_names_80 {瓦曼亚纳}
Indian_names_81 {瓦曼阿查奇}
Indian_names_82 {瓦曼普马}
Indian_names_83 {瓦曼图帕克}
Indian_names_84 {乌奈}
Indian_names_85 {奥尔库}
Indian_names_86 {奥尔库科利亚}
Indian_names_87 {乌图伦库}
Indian_names_88 {哈坎}
Indian_names_89 {哈通图帕克}
Indian_names_90 {胡顺库}
Indian_names_91 {查瓦尔}
Indian_names_92 {乔皮}
Indian_names_93 {奇坎}
Indian_names_94 {丘基瓦曼}
Indian_names_95 {苏利亚卡瓦曼}
Indian_names_96 {丘斯库}
Indian_names_97 {考里}
Indian_names_98 {亚纳马尤}
Indian_names_99 {亚瓦尔瓦卡克}
Indian_names_100 {卡特基}
Indian_names_101 {阿莉科菈}
Indian_names_102 {阿万凯}
Indian_names_103 {奥卡}
Indian_names_104 {阿奇亚库}
Indian_names_105 {瓦伊利亚}
Indian_names_106 {瓦卡尔}
Indian_names_107 {瓦克奇利亚}
Indian_names_108 {瓦拉瓦}
Indian_names_109 {瓦拉库查}
Indian_names_110 {伊利亚里}
Indian_names_111 {约里}
Indian_names_112 {坎图}
Indian_names_113 {基利亚伊}
Indian_names_114 {科卡}
Indian_names_115 {库伊米}
Indian_names_116 {库库里}
Indian_names_117 {库尔基}
Indian_names_118 {库西玛尤}
Indian_names_119 {库西钦普}
Indian_names_120 {莉亚沙}
Indian_names_121 {莉亚乌}
Indian_names_122 {玛伊苏玛克}
Indian_names_123 {玛玛阿奇克}
Indian_names_124 {玛玛科卡}
Indian_names_125 {米斯基瓦伊拉}
Indian_names_126 {米奇克}
Indian_names_127 {纳亚拉克}
Indian_names_128 {尼纳帕克查}
Indian_names_129 {尼纳西萨}
Indian_names_130 {帕卡里}
Indian_names_131 {皮尔库西萨}
Indian_names_132 {拉瓦奥克略}
Indian_names_133 {里玛克}
Indian_names_134 {萨查蒂卡}
Indian_names_135 {苏亚娜}
Indian_names_136 {苏玛奇}
Indian_names_137 {苏玛克}
Indian_names_138 {塔基}
Indian_names_139 {塔利亚}
Indian_names_140 {塔米亚}
Indian_names_141 {塔尼塔尼}
Indian_names_142 {蒂卡}
Indian_names_143 {乌米娜}
Indian_names_144 {乌尔皮库西}
Indian_names_145 {乌尔皮亚纳伊}
Indian_names_146 {卡图克}
Indian_names_147 {查米}
Indian_names_148 {钦普}
Indian_names_149 {丘基}
Indian_names_150 {萨亚}
Indian_names_151 {舒利亚}
Indian_names_152 {尤拉克}
Indian_names_153 {尤里亚娜}
Indian_names_154 {尤里}
Indian_names_155 {亚纳基利亚}
Indian_names_156 {亚纳瓦伊塔}
Indian_names_157 {亚奈}
Indian_names_158 {亚纳普玛}
Indian_names_159 {亚查伊}
Indian_names_160 {拉萨纳}
Indian_names_161 {西玛拉}
Indian_names_162 {卡尔瓦西萨}
Indian_names_163 {玛伊瓦}
Indian_names_164 {帕里瓦纳}
Indian_names_165 {沙亚}
Indian_names_166 {廷塔亚}
Indian_names_167 {乌尔皮利亚伊}
Indian_names_168 {瓦亚奈}
Indian_names_169 {瓦拉亚纳}
