Bridgetown_Hostess_name {安吉拉}
Bridgetown_Hostess_lastname {朱莉}
Jackman_name {雅各布}
Jackman_lastname {法克曼}
Jackman_ship {曼彻斯特号}
Jackman_ship2 {幸运号}
Pirates_tavernkeeper_name {幸运儿}
Pirates_tavernkeeper_lastname {罗辛}
Pirates_trader_name {帕斯卡}
Pirates_trader_lastname {沃塞尔}
Pirates_shipyarder_name {亚历克斯}
Pirates_shipyarder_lastname {大师}
Cartahena_Lightman_name {阿尔瓦雷斯}
Cartahena_Lightman_lastname {奥尔特加}
Villemstad_waitress_name {坦妮肯}
Villemstad_waitress_lastname {克莱门斯}
Villemstad_trader_name {若昂}
Villemstad_trader_lastname {伊利亚约}
Villemstad_usurer_name {约瑟夫 努恩}
Villemstad_usurer_lastname {德 丰克萨奥}
Villemstad_Hostess_name {迪安塔}
PortRoyal_Hostess_name {莉蒂西亚}
HWIC_headclerk_name {科里斯}
HWIC_headclerk_lastname {格里茨}
Minetown_Commend_name {劳伦斯}
Minetown_Commend_lastname {特克}
Edward_Mansfield_name {爱德华}
Edward_Mansfield_lastname {曼斯菲尔德}
FortFrance_tavernkeeper_name {快活杰罗姆}
FortFrance_Hostess_name {安洁丽卡}
LeFransua_Mayor_name {巴塞洛缪}
LeFransua_Mayor_lastname {罗杰斯}
Charles_Hostess_name {薇薇安}
LeFransua_tavernkeeper_name {“蛇人”}
LeFransua_tavernkeeper_lastname {扬}
Charles_tavernkeeper_name {“独眼龙”}
Charles_tavernkeeper_lastname {斯蒂德 亨特}
BoatChar_name {水手}
Skorlupka_name {小破船}
Panama_Hostess_name {西蒙娜}
PortoBello_tavernkeeper_name {罗兰多}
PortoBello_tavernkeeper_lastname {皮萨罗}
Providencia_Mayor_name {爱德华}
Providencia_Mayor_lastname {科利尔}
Providencia_tavernkeeper_name {杰伊}
Providencia_tavernkeeper_lastname {图科尔顿}
Providencia_trader_name {伊扎克}
Providencia_trader_lastname {卡茨曼}
Providencia_Hostess_name {黛丝瑞}
Providencia_Hostess_lastname {德 维农}
Richard_Soukins_name {理查德}
Richard_Soukins_lastname {索金斯}
Richard_Soukins_ship {幸运儿号}
PuertoPrincipe_trader_name {约翰}
PuertoPrincipe_trader_lastname {诺顿}
SantoDomingo_Hostess_name {米兰特拉}
Marigo_Hostess_name {约兰塔}
Santiago_Mayor_name {何塞}
Santiago_Mayor_lastname {桑乔 希门尼斯}
eng_guber_name {托马斯}
eng_guber_lastname {莫迪福德}
spa_guber_name {弗朗西斯科}
spa_guber_lastname {奥雷贡-加斯孔}
fra_guber_name {贝尔特朗}
fra_guber_lastname {多热龙}
hol_guber_name {彼得}
hol_guber_lastname {斯特伊弗桑特}
Henry_Morgan_name {亨利}
Henry_Morgan_lastname {摩根}
Henry_Morgan_ship {牛津号}
Oliver_Green_name {奥利弗}
Oliver_Green_lastname {格林}
Ascold_name {阿斯科德}
Isabella_name {伊莎贝拉}
Isabella_lastname {奥利瓦雷斯}
Tortuga_Hostess_name {玛格丽塔}
Sharp_name {巴塞洛缪}
Sharp_lastname {夏普}
Sharp_ship {卡隆号}
Sharp_mapEnc {双桅横帆船“夏普号”}
Blaze_name {布雷兹}
Blaze_lastname {夏普}
Blaze_ship {迅猪号}
BerglarSentJons_name {怀特}
BerglarSentJons_lastname {奥雷斯特}
BerglarFortFrance_name {威廉}
BerglarFortFrances_lastname {克拉波}
BerglarMarigo_name {杰夫}
BerglarMarigo_lastname {巴德格拉斯}
BerglarPanama_name {佩莱}
BerglarPanama_lastname {贝尔赫}
BerglarCartahena_name {巴里洛}
BerglarCartahena_lastname {霍文}
BerglarSantaCatalina_name {杰内雷}
BerglarSantaCatalina_lastname {贾尔迪诺}
QuetionsVillemstad_name {艾玛}
QuetionsVillemstad_lastname {格伦}
QuetionsPortPax_name {莉莉安}
QuetionsPortPax_lastname {拉贝}
PoorKillSponsor_name {Oliver}
PoorKillSponsor_lastname {Trust}
OffMushketer_name {汉弗莱}
OffMushketer_lastname {道格拉斯}
QuestPirate1_name {古德雷}
QuestPirate1_lastname {船长}
DeadmansGod_name {米克特兰堤库特里}
MaximTailor_name {马克西姆}
MaximTailor_lastname {泰勒}
MaryCelesteCapitan_name {玛丽.赛勒斯特号}
EmptyShip_name {这艘船空无一人}
EmptyShip_mapEnc {双桅帆船“玛丽.赛勒斯特号”}
WheelFortunaShip_ship {命运之轮号}
Atilla_name {阿提拉}
PDM_PJ_Strajnik_1_name {乔里}
PDM_PJ_Strajnik_2_name {阿勒}
Josephine_Lodet2_name {老妇人}
Husband_name {萨尔瓦多}
Husband_lastname {奥利瓦雷斯}
YokoDias_name {阳子}
YokoDias_lastname {迪亚兹}
Angellica_name {安洁莉卡}
Angellica_lastname {夏普}
OfMush1_name {尼古拉}
OfMush1_lastname {里马莱}
OfMush2_name {马格努斯}
OfMush2_lastname {冯 科凯}
BlueBirdCapitain_name {桑德罗}
BlueBirdCapitain_lastname {索恩}
BlueBirdCapitain_ship {蓝鸟号}
Pirates_trader2_name {本杰明}
Pirates_trader2_lastname {富兰克林}
Emillio_name {埃米利奥}
Emillio_lastname {加西亚}
CapGoodly_name {古德雷}
CapGoodly_lastname {船长}
Aivory_name {约翰}
Aivory_lastname {埃弗里}
Orry_name {奥里}
Orry_lastname {布鲁斯}
LeonCapitain_ship {莱昂号}
LeonCapitain_mapEnc {护卫舰“莱昂号”}
QuestCap_PL7_ship {迷踪号}
QuestCap_PL7_mapEnc {战列舰}
JohnMorris_name {约翰}
JohnMorris_lastname {莫里斯}
JohnMorris_ship {泻湖号}
MushketCap_name {阿尔伯特}
MushketCap_lastname {齐维尔特}
MushketCap_ship {长箭号}
MushketCap_mapEnc {快速双桅横帆船“长箭号”}
GiveKeyMan_name {希尔}
GiveKeyMan_lastname {科纳}
LSCMayor_name {查德}
LSCMayor_lastname {卡帕}
Ment_1_name {让}
Ment_1_lastname {贝尔迪}
Ment_2_name {莱维斯}
Ment_2_lastname {格罗默}
Ment_3_name {弗里盖特}
Ment_3_lastname {赫林}
Ment_4_name {劳尔}
Ment_4_lastname {克鲁兹}
Ment_5_name {热拉尔}
Ment_5_lastname {福尔}
Ment_6_name {约翰}
Ment_6_lastname {沃克曼}
LSCBarmen_name {希尔}
LSCBarmen_lastname {布伦纳}
LSCwaitress_name {阿莫尔}
LSCwaitress_lastname {杜林}
PedroHurtado_name {佩德罗}
PedroHurtado_lastname {乌尔塔多}
ZhilBaru_name {吉莱斯}
ZhilBaru_lastname {巴茹}
TristanBorcher_name {特里斯坦}
TristanBorcher_lastname {布彻}
RoyelHaag_name {罗亚尔}
RoyelHaag_lastname {丹哈格}
DominicLegro_name {多米尼克}
DominicLegro_lastname {勒格罗}
JorgeStouks_name {乔治}
JorgeStouks_lastname {斯托克斯}
HenryFolder_name {亨利}
HenryFolder_lastname {福尔德}
FelixMendoza_name {菲力克斯}
FelixMendoza_lastname {门多萨}
RodgerWoyler_name {罗杰}
RodgerWoyler_lastname {沃伊勒}
AndreLabor_name {安德烈}
AndreLabor_lastname {拉包尔}
StefanKleyn_name {斯特凡}
StefanKleyn_lastname {克莱因}
ThomasFlann_name {托马斯}
ThomasFlann_lastname {弗兰}
PabloBarades_name {巴勃罗}
PabloBarades_lastname {巴拉德斯}
LSC_Priest_name {安赫尔}
LSC_Priest_lastname {神父}
SandraGomes_name {桑德拉}
SandraGomes_lastname {戈麦斯}
MonikaRight_name {莫妮卡}
MonikaRight_lastname {莱特}
LSC_Trader_name {埃里克}
LSC_Trader_lastname {约斯特}
LSC_PrisonerHead_name {加布里埃尔}
LSC_PrisonerHead_lastname {德埃姆}
LSC_Prisoner1_name {托马斯}
LSC_Prisoner1_lastname {博伊勒}
LSC_Usurer_name {奥古斯托}
LSC_Usurer_lastname {布拉姆斯}
Mechanic_name {亨里克}
Mechanic_lastname {韦德克}
ElisTaylor_name {爱丽丝}
ElisTaylor_lastname {泰勒}
OreliBertin_name {奥雷莉}
OreliBertin_lastname {贝尔坦}
LeaToors_name {莉娅}
LeaToors_lastname {图尔斯}
ElizaCalvo_name {埃莉莎}
ElizaCalvo_lastname {卡尔沃}
SesilGalard_name {塞西莉娅}
SesilGalard_lastname {加拉尔}
MalcolmFawn_name {马尔科姆}
MalcolmFawn_lastname {福恩}
Narval_head_name {托马斯}
Narval_head_lastname {格林斯皮}
Narval_1_name {弗里茨}
Narval_1_lastname {霍尔特}
Narval_2_name {罗杰}
Narval_2_lastname {亚丁}
Narval_3_name {尼克}
Narval_3_lastname {诺尔蒂}
Narval_4_name {杰里}
Narval_4_lastname {格拉齐德}
Narval_5_name {米隆}
Narval_5_lastname {贝尔热}
Casper_head_name {卡斯帕}
Casper_head_lastname {朗曼}
Casper_1_name {丹尼斯}
Casper_1_lastname {霍珀}
Casper_2_name {富歇}
Casper_2_lastname {赫希特}
Casper_3_name {塞尔日}
Casper_3_lastname {香邦}
Casper_4_name {菲利佩}
Casper_4_lastname {阿尔马斯}
Casper_6_name {胡安}
Casper_6_lastname {科沃}
Casper_7_name {塔格尔}
Casper_7_lastname {埃多}
Casper_8_name {泽诺}
Casper_8_lastname {巴里奥}
Casper_9_name {米格尔}
Casper_9_lastname {巴蒂斯}
Casper_10_name {马丁}
Casper_10_lastname {加缪}
Casper_11_name {马克}
Casper_11_lastname {毕晓普}
LSCBarmen2_name {弗洛伦斯}
LSCBarmen2_lastname {斯洛特}
LSCwaitress2_name {弗洛拉}
LSCwaitress2_lastname {普雷斯科特}
Azzy_name {恶魔}
Azzy_lastname {埃兹}
QuestMan_Shore_name {西尔维奥}
QuestMan_Shore_lastname {里奇}
Montesuma_name {蒙特祖玛}
AztecCitizen_1_name {墨希特利}
AztecCitizen_2_name {维佐特尔}
Beyns_name {安德鲁}
Beyns_lastname {贝恩斯}
Pitt_name {杰里米}
Pitt_lastname {皮特}
CapGobart_name {霍巴特}
CapGobart_lastname {上尉}
Bridgetown_Mayor_name {斯蒂德}
Bridgetown_Mayor_lastname {市长}
Bishop_name {毕晓普}
Bishop_lastname {上校}
Griffin_name {埃德}
Griffin_lastname {格里芬}
Hells_name {托比亚斯}
Hells_lastname {赫尔斯}
Quest_Smuggler_name {神秘人}
Quest_Smuggler_lastname {无名氏}
Volverston_name {内德华}
Volverston_lastname {沃弗斯通}
Hugtorp_name {纳撒尼尔}
Hugtorp_lastname {哈格索普}
Dieke_name {尼古拉斯}
Dieke_lastname {戴克}
Ogl_name {内德}
Ogl_lastname {奥格尔}
Slave_Quest_name {桑德罗}
Slave_Quest_lastname {索恩}
Nettl_name {詹姆斯}
Nettl_lastname {纳塔尔}
Spain_spy_name {塞尔吉奥}
Spain_spy_lastname {克雷斯波}
Winterwood_name {斯图尔特}
Winterwood_lastname {温特伍德}
Fisherman_name {阿诺德}
Fisherman_lastname {萨默莱特}
Jack_name {杰克}
Jack_lastname {斯派洛}
Mainer_name {约翰}
Mainer_lastname {迈纳}
Nabuki_name {纳布基}
Nabuki_lastname {安纳康达}
Jimmy_name {塔曼戈}
RatCap_name {弗朗索瓦}
RatCap_lastname {贡蒂尔}
Slavetrader_name {斯文}
Slavetrader_lastname {卡尔森}
zpqCaptain_name {“滑头”}
zpqCaptain_lastname {吉米}
zpqCaptain_ship {诺曼底号}
pSQB_Captain_name {西伦西奥}
pSQB_Captain_lastname {贝格拉奇}
pSQB_Captain_ship {巴克斯号}
pSQ_Captain_name {诺曼}
pSQ_Captain_lastname {维戈}
pSQ_Captain_ship {七女号}
Houm_name {汉尼拔}
Houm_lastname {霍尔姆}
Houmn_ship {骸首号}
Houm_helper_name {安德烈}
Houm_helper_lastname {塔尔}
Houm_helper_ship {烂牙号}
RatSeaOfficer_name {大副}
RatSeaOfficer_lastname {巴恩斯}
RatSeaOfficer_ship {阿德莱德号}
Carlos_name {卡洛斯}
Carlos_lastname {卡西尔}
RatOfficer_name {马蒂亚斯}
RatOfficer_lastname {格林}
Halen_name {马丁}
Halen_lastname {范哈伦}
Halen_ship {幸运情人号}
Halen_helper_ship {奥扎克号}
Miko_name {米科}
Miko_lastname {皮斯托莱罗}
Jafar_name {贾}
Jafar_lastname {佩斯顿}
Jafar_ship {暗影号}
Tichingitu_name {蒂钦吉图}
John_Coxon_name {约翰}
John_Coxon_lastname {考克森}
Atlaua_name {阿特拉瓦}
Xiuhtecuhtli_name {修特库特利}
Huitzilopochtli_name {维齐洛波奇特利}
Xolotl_name {索洛特尔}
Huahuantli_name {华万特利}
Ostin_name {阿尔贝托}
Ostin_lastname {高迪奥}
CaptainAttack_1_ship {陷阱号}
CaptainAttack_1_ship2 {奥兰治主义号}
CaptainAttack_1_ship3 {圣阿格达号}
CaptainAttack_1_ship4 {拉罗谢尔号}
CaptainAttack_1_ship5 {不幸者号}
Hoverd_Tantum_name {戈夫德}
Hoverd_Tantum_lastname {坦图姆}
Morris_Willams_name {莫里斯}
Morris_Willams_lastname {威廉姆斯}
Morris_Willams_ship {宠儿号}
Bocman_Willams_name {阿兰}
Bocman_Willams_lastname {史密斯}
Jillians_Husband_name {汤姆}
Jillians_Husband_lastname {阿特伯里}
MorrisWillamsSkelet_name {兰伯特}
MorrisWillamsSkelet_lastname {格罗夫}
Dick_Manson_name {迪克}
Dick_Manson_lastname {曼森}
Spa_Attack_name {曼努埃尔 里韦罗}
Spa_Attack_lastname {帕达尔}
Spa_Attack_ship {埃斯库多号}
Thomas_Linch_name {托马斯 林奇}
Thomas_Linch_lastname {上校}
Thomas_Modiford_name {托马斯}
Thomas_Modiford_lastname {莫迪福德}
EdwardMansfield_name {库珀}
EdwardMansfield_lastname {船长}
Stranger_HL7_name {纪尧姆}
Stranger_HL7_lastname {道蒂}
LoranDeGraf_name {劳伦斯}
LoranDeGraf_lastname {德 格拉夫}
LoranDeGraf_ship {科明特号}
Francisco_name {弗朗西斯科}
Francisco_lastname {德 圣阿古斯丁}
JansenDeFonceicao_name {约瑟夫 努恩}
JansenDeFonceicao_lastname {德 丰克萨奥}
JansenDeFonceicao_ship {绝望号}
Panama_houseSp1_Room_name {雅各布 洛佩斯}
Panama_houseSp1_Room_lastname {德 丰塞卡}
RockBrasilian_name {巴西人}
RockBrasilian_lastname {洛克}
RockBrasilian_ship {绝望号}
AnryDEstre_name {安德烈}
AnryDEstre_lastname {德雷斯特}
OurCaptain_1_name {曼努埃尔}
OurCaptain_1_lastname {里韦罗 帕达尔}
OurCaptain_1_ship {埃斯库多号}
Pir_Attack_name {摩西}
Pir_Attack_lastname {沃克林}
Pir_Attack_ship {奥尔良号}
Pir_Attack2_name {安塞尔}
Pir_Attack2_lastname {船长}
Pir_Attack2_ship {宙斯号}
IsaAttackCap_ship {狂喜号}
AscoldCaptainAttack_ship {致命号}
AnnaDeLeiva_name {安娜 拉米雷斯}
AnnaDeLeiva_lastname {德莱瓦}
FraLineNpc_1_name {何塞}
FraLineNpc_1_lastname {拉米雷斯 德莱瓦}
Huan_name {胡安}
Galeno_lastname {盖伦}
DeLeivaBrother_1_name {马里奥 埃斯特班}
DeLeivaBrother_1_lastname {德莱瓦}
DeLeivaBrother_2_name {罗伯托 文森佐}
DeLeivaBrother_2_lastname {德莱瓦}
MigelDeValdes_name {米格尔}
MigelDeValdes_lastname {德 瓦尔德斯}
CrabInside_name {巨蟹}
LeifEricson_name {莱夫}
LeifEricson_lastname {埃里克松}
Slave_woman_name {伊佐拉}
Ratlover_name {珍妮}
Ratlover_lastname {莫里埃}
James_Callow_name {詹姆斯}
James_Callow_lastname {卡洛}
James_Callow_ship {贪婪比利号}
Andreas_Fickler_name {安德烈亚斯}
Andreas_Fickler_lastname {菲克勒}
QuetionsPortPax_MuzhPassajir_name {文森特}
QuetionsPortPax_MuzhPassajir_lastname {拉贝}
FL_officer_name {马克}
FL_officer_lastname {勒沃斯}
GrammonMother_name {丽贝卡}
GrammonMother_lastname {德 格拉蒙}
GrammonSister_name {娜塔莉}
GrammonSister_lastname {德 格拉蒙}
