Viking_names_1 {比亚尔尼}
Viking_names_2 {索尔凯尔}
Viking_names_3 {奥拉夫}
Viking_names_4 {托尔吉尔斯}
Viking_names_5 {哈拉尔}
Viking_names_6 {索里尔}
Viking_names_7 {比约恩}
Viking_names_8 {约富尔}
Viking_names_9 {斯万}
Viking_names_10 {英格瓦尔}
Viking_names_11 {埃瓦尔}
Viking_names_12 {贡纳尔}
Viking_names_13 {赫罗杜德}
Viking_names_14 {布林亚尔}
Viking_names_15 {哈尔多尔}
Viking_names_16 {弗雷尔}
Viking_names_17 {法尔比约恩}
Viking_names_18 {纳特法里}
Viking_names_19 {加尔达尔}
Viking_names_20 {阿恩布兰德尔}
Viking_names_50 {赫尤尔夫松}
Viking_names_51 {阿格纳尔松}
Viking_names_52 {特里格瓦松}
Viking_names_53 {哈蒙德松}
Viking_names_54 {西古尔德松}
Viking_names_55 {诺德纳尔松}
Viking_names_56 {哈尔比约恩松}
Viking_names_57 {克维尔杜尔夫松}
Viking_names_58 {奥洛夫松}
Viking_names_59 {埃里克松}
Viking_names_60 {斯文松}
Viking_names_61 {卡尔松}
Viking_names_62 {约恩松}
Viking_names_63 {奥尔松}
Viking_names_64 {贡纳尔松}
Viking_names_65 {莱夫松}
Viking_names_66 {拉格纳松}
Viking_names_67 {英格瓦尔松}
Viking_names_68 {哈拉尔松}
Viking_names_69 {比亚纳松}
